               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.069263,           0.0065706,                   0,             0.77189,              0.7795,              0.7846,             0.32459,            0.076885,           0.0066841,                   0,            0.008383,            0.008383,            0.008383
                  51,             0.06982,           0.0065385,                   0,             0.77261,             0.78021,             0.78525,             0.32348,            0.076928,           0.0066866,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.069376,           0.0065124,                   0,             0.77111,             0.77906,             0.78415,             0.32408,            0.076846,           0.0066885,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.069481,           0.0065336,                   0,             0.77058,             0.77804,             0.78427,             0.32434,            0.076736,           0.0066871,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.069261,           0.0064595,                   0,             0.77075,             0.77819,             0.78471,             0.32501,            0.076617,           0.0066827,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.069011,           0.0065528,                   0,             0.77047,             0.77745,             0.78401,             0.32522,            0.076523,           0.0066776,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.069109,           0.0065767,                   0,             0.77158,             0.77822,             0.78514,             0.32613,            0.076449,           0.0066756,                   0,            0.008185,            0.008185,            0.008185
                  57,             0.06872,           0.0065409,                   0,             0.77094,             0.77756,             0.78578,             0.32686,            0.076377,           0.0066711,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.069072,           0.0064689,                   0,             0.77052,             0.77669,             0.78513,             0.32725,            0.076486,           0.0066599,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.068793,           0.0065062,                   0,             0.77114,             0.77697,             0.78425,             0.32561,            0.076791,           0.0066543,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.068992,           0.0064741,                   0,              0.7696,             0.77541,             0.78321,             0.32592,            0.076765,           0.0066568,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.068816,           0.0065051,                   0,             0.77314,              0.7784,              0.7862,             0.32631,            0.076675,           0.0066586,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.068214,           0.0065113,                   0,             0.77261,             0.77763,             0.78538,             0.32625,            0.076561,           0.0066583,                   0,            0.007987,            0.007987,            0.007987
                  63,             0.06809,            0.006481,                   0,             0.77299,             0.77755,             0.78629,             0.32641,            0.076447,           0.0066558,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.068275,           0.0065376,                   0,             0.77482,             0.77949,             0.78831,             0.32744,            0.076319,           0.0066557,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.068325,           0.0064488,                   0,             0.77542,             0.77998,             0.78942,             0.32806,            0.076215,           0.0066524,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.068309,            0.006465,                   0,              0.7744,             0.77882,             0.78831,             0.32814,            0.076146,           0.0066488,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.068276,            0.006461,                   0,             0.77299,             0.77706,             0.78721,               0.329,            0.076071,           0.0066429,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.068339,           0.0064819,                   0,             0.77415,             0.77789,             0.78862,             0.33048,            0.076013,           0.0066389,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.068058,           0.0064614,                   0,             0.77308,             0.77669,             0.78752,             0.33094,            0.075972,           0.0066352,                   0,            0.007756,            0.007756,            0.007756
